Player,GP,MIN,PTS,REB,AST,STL,BLK,TOV,OREB,DREB,PF,+/-,eFG%,FGM,FGA,3PM,3PA,FTM,FTA,FG%,3P%,FT%,GmSc,TS%,3PAr,FTr,AST'd%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PER,ORtg,DRtg,NRtg,OBPM,DBPM,BPM,OWS,DWS,WS,WS/40,WS/82,VORP,VORP/82
Oscar Cluff,4,19.6,8.2,15.1,0.9,0.9,1.4,1.8,2.7,12.4,5.0,,50.0,2.7,5.5,0.0,1.8,1.4,2.3,50.0,0.0,60.0,9.4,63.4,0.333,0.417,50.0,8.1,36.2,17.6,3.9,1.3,3.9,22.0,10.3,12.5,102.2,96.7,5.5,-3.0,5.5,2.5,-0.0,0.2,0.2,0.09,4.2,0.1,2.2
Zach Cleveland,4,15.4,8.2,8.8,6.4,1.8,0.6,2.3,0.6,8.2,1.2,,50.0,2.9,5.8,0.0,1.2,1.2,1.2,50.0,0.0,100.0,12.0,64.3,0.2,0.2,60.0,1.7,24.8,11.0,27.2,2.5,1.6,27.1,10.3,14.5,116.0,111.9,4.1,3.5,3.0,6.5,0.0,0.1,0.1,0.07,1.7,0.1,2.4
Barry Dunning jr,4,8.5,7.4,6.3,4.2,1.1,0.0,1.1,1.1,5.3,7.4,,50.0,3.2,7.4,1.1,4.2,0.0,1.1,42.9,25.0,0.0,5.4,47.0,0.571,0.143,66.7,2.8,14.6,7.4,12.9,1.4,0.0,11.8,9.4,8.5,112.0,112.0,0.0,2.0,-1.7,0.2,0.0,0.0,0.0,0.05,1.0,0.0,0.5
Maliq Brown,7,24.5,7.4,7.6,2.1,2.9,0.8,1.9,4.2,3.4,5.0,,62.5,2.3,4.2,0.6,1.7,1.1,1.1,55.0,37.5,100.0,10.4,78.8,0.4,0.25,54.5,11.6,10.7,9.1,9.7,4.1,2.4,30.3,7.7,14.4,118.8,101.7,17.0,-0.0,1.0,1.0,0.1,0.3,0.4,0.09,5.9,0.1,1.9
Keyshawn Hall,5,16.1,7.1,7.6,1.3,1.3,0.0,4.0,1.3,6.2,4.5,,30.0,2.7,8.9,0.0,0.9,0.9,2.2,30.0,0.0,40.0,0.7,36.0,0.1,0.25,16.7,4.0,17.9,9.5,5.6,1.9,0.0,28.0,15.3,0.3,53.2,113.7,-60.5,-11.6,-0.1,-11.8,-0.3,0.1,-0.2,-0.12,-3.5,-0.2,-2.7
Izaiyah Nelson,3,13.5,7.1,8.0,1.8,2.7,2.7,1.8,1.8,6.2,8.9,,50.0,2.7,5.3,0.0,0.9,0.9,1.8,50.0,0.0,50.0,7.6,58.1,0.167,0.333,100.0,6.6,17.0,9.3,6.8,3.6,7.4,22.5,9.6,11.8,99.9,105.5,-5.6,-2.2,4.2,2.0,-0.0,0.1,0.1,0.05,1.2,0.0,1.0
Ugonna Onyenso,4,16.7,6.5,11.3,0.5,2.2,3.8,2.2,4.9,6.5,3.2,,46.2,2.7,7.0,1.1,1.6,0.0,0.0,38.5,66.7,,9.7,46.2,0.231,0.0,80.0,14.5,19.0,13.8,3.2,3.0,9.9,23.5,10.0,14.4,97.4,111.1,-13.6,-5.1,4.5,-0.6,-0.0,0.1,0.0,0.02,0.9,0.0,0.6
Tre'Von Spillers,2,8.5,6.4,19.1,4.2,2.1,0.0,0.0,6.4,12.7,2.1,,37.5,2.1,8.5,2.1,4.2,0.0,0.0,25.0,50.0,,13.8,37.5,0.5,0.0,100.0,17.5,36.4,20.8,15.4,2.9,0.0,0.0,8.7,19.3,129.8,99.8,30.0,3.1,6.7,9.7,0.0,0.0,0.1,0.14,1.4,0.1,1.2
Tamin Lipsey,2,22.8,5.5,4.7,1.6,0.8,0.0,1.6,1.6,3.2,4.7,,38.9,2.4,7.1,0.8,3.9,0.0,0.8,33.3,20.0,0.0,1.7,37.1,0.556,0.111,66.7,4.9,8.9,5.7,7.5,1.1,0.0,17.5,10.5,3.2,81.7,125.8,-44.1,-4.3,-3.7,-8.0,-0.1,-0.0,-0.1,-0.06,-1.7,-0.1,-1.7
Dailyn Swain,4,28.0,5.5,6.4,2.9,1.0,0.0,2.2,1.6,4.8,3.5,,12.9,1.3,10.0,0.0,2.2,1.6,2.2,12.9,0.0,71.4,0.6,24.9,0.226,0.226,0.0,4.6,14.3,7.5,11.1,1.3,0.0,17.0,14.3,-0.6,57.2,119.4,-62.2,-8.9,-1.9,-10.7,-0.4,0.0,-0.4,-0.13,-8.8,-0.2,-6.1
Rafael Castro,5,13.3,5.4,6.5,1.1,3.8,1.6,2.7,1.1,5.4,3.3,,28.6,2.2,7.6,0.0,1.1,0.5,1.6,28.6,0.0,33.3,4.6,32.6,0.143,0.214,100.0,3.1,16.2,8.3,4.9,5.1,4.2,24.1,13.1,6.2,57.2,105.6,-48.4,-8.9,4.6,-4.3,-0.2,0.1,-0.1,-0.06,-1.2,-0.0,-0.1
Corey Camper Jr.,4,13.8,5.2,8.4,1.3,2.6,0.6,1.3,3.9,4.5,2.6,,28.6,2.6,9.1,0.0,3.9,0.0,0.6,28.6,0.0,0.0,5.3,27.7,0.429,0.071,25.0,11.0,11.5,9.3,6.1,3.5,1.8,12.2,10.4,7.7,77.2,100.3,-23.1,-6.3,0.9,-5.3,-0.1,0.1,0.0,0.01,0.5,-0.1,-1.2
Lamar Wilkerson,4,9.3,4.8,1.9,4.8,0.0,0.0,1.0,1.0,1.0,2.9,,25.0,1.9,9.7,1.0,6.8,0.0,0.0,20.0,14.3,,1.1,25.0,0.7,0.0,100.0,2.5,2.9,3.0,17.2,0.0,0.0,9.3,11.7,1.5,71.3,136.4,-65.1,-1.5,-7.0,-8.4,-0.1,-0.1,-0.1,-0.12,-2.6,-0.1,-1.5
Robbie Avila,2,8.0,4.5,2.2,4.5,0.0,0.0,4.5,0.0,2.2,4.5,,16.7,2.2,13.5,0.0,4.5,0.0,0.0,16.7,0.0,,-6.5,16.7,0.333,0.0,100.0,0.0,7.4,2.6,28.7,0.0,0.0,26.1,20.6,-10.3,41.3,127.3,-85.9,-14.6,-5.8,-20.4,-0.1,-0.0,-0.1,-0.23,-2.6,-0.1,-1.4
Karim Lopez,1,11.2,0.0,12.9,0.0,3.2,6.4,6.4,3.2,9.6,9.6,,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,,,0.3,0.0,0.0,0.0,,11.0,33.1,15.4,0.0,4.6,19.7,66.7,11.1,4.1,18.7,87.4,-68.7,-19.5,11.8,-7.7,-0.1,0.0,-0.0,-0.07,-0.5,-0.0,-0.4
Sam Hoiberg,4,8.6,0.0,7.3,4.2,2.1,0.0,2.1,3.1,4.2,5.2,,0.0,0.0,3.1,0.0,3.1,0.0,0.0,0.0,0.0,,2.1,0.0,1.0,0.0,,8.9,10.6,7.7,18.0,2.8,0.0,40.0,5.5,4.3,70.0,103.3,-33.3,-3.6,-0.7,-4.3,-0.0,0.1,0.0,0.01,0.3,-0.0,-0.5
Malik Reneau,1,8.3,0.0,17.3,0.0,0.0,4.3,4.3,4.3,13.0,8.7,,0.0,0.0,13.0,0.0,4.3,0.0,0.0,0.0,0.0,,-6.9,0.0,0.333,0.0,,16.2,35.5,19.0,0.0,0.0,12.0,25.0,16.7,-6.7,20.6,103.0,-82.4,-24.1,6.6,-17.5,-0.1,0.0,-0.1,-0.25,-1.2,-0.0,-0.8
Elijah Mahi,2,3.7,0.0,4.9,0.0,0.0,0.0,0.0,0.0,4.9,4.9,,0.0,0.0,4.9,0.0,4.9,0.0,0.0,0.0,0.0,,-3.9,0.0,1.0,0.0,,0.0,14.8,4.4,0.0,0.0,0.0,0.0,4.8,-3.8,0.0,129.5,-129.5,-7.0,-3.5,-10.5,-0.0,-0.0,-0.0,-0.13,-0.3,-0.0,-0.2
